qid,category,level,problem,description,todo
1,1,1,0,bin,NA
2,1,1,1,bin,NA
3,1,1,10,bin,NA
4,1,1,11,bin,NA
5,1,2,1001101,bin,NA
6,1,2,1100011,bin,NA
7,1,2,101000100011,bin,NA
8,1,3,11.101,bin,NA
9,1,3,10000011.101,bin,NA
10,1,1,100,bin,NA
11,1,1,101,bin,NA
12,1,1,110,bin,NA
13,1,1,111,bin,NA
14,1,1,1000,bin,NA
15,1,1,1001,bin,NA
16,1,2,1010111,bin,NA
17,1,2,1100010,bin,NA
18,1,2,1101111,bin,NA
19,1,1,1110,bin,NA
20,1,1,1111,bin,NA
21,1,1,31,hex,NA
22,1,1,22,hex,NA
23,1,1,B1,hex,NA
24,1,1,32,hex,NA
25,1,1,11B1,hex,NA
26,1,1,2132,hex,NA
27,1,1,32,hex,NA
28,1,1,32,dec,NA
29,1,1,212,dec,NA
30,1,1,101,dec,NA
31,1,1,0,oct,NA
32,1,1,10,oct,NA
33,1,1,11,oct,NA
34,1,1,NA,NA,NA
35,1,1,NA,NA,NA
36,1,1,NA,NA,NA
37,1,1,NA,NA,NA
38,1,1,NA,NA,NA
39,1,1,NA,NA,NA
40,1,1,1011,tcomp,NA
41,1,1,-3,dec,tcomp
42,2,1,A,"A=1",evaluate_bool
43,2,1,A or B,"A=1,B=0",evaluate_bool
44,2,1,A and B,"A=1,B=0",evaluate_bool
45,2,1,not(A or B),"A=0,B=1",evaluate_bool
46,2,1,w or x and y or (not z),"w=0,x=1,y=0,z=0",evaluate_bool
47,2,1,C and (A or B),"A=0,B=1,C=1",evaluate_bool
48,2,1,(A or B or C or D),"A=0,B=0,C=0,D=0",evaluate_bool
49,2,1,(A or B or C or D),"A=0,B=0,C=1,D=0",evaluate_bool
